time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-14T23:54:18.790Z,35.8911667,-117.7458333,1.45,0.77,ml,8,140,0.08387,0.22,ci,ci38569375,2019-07-14T23:57:52.459Z,"15km ESE of Little Lake, CA",earthquake,0.54,0.84,0.159,5,automatic,ci,ci
2019-07-14T23:50:55.590Z,36.2291667,-89.4565,7.48,1.67,md,14,76,0.0292,0.05,nm,nm60281376,2019-07-15T16:59:23.600Z,"4km SE of Ridgely, Tennessee",earthquake,0.37,0.64,0.089,12,reviewed,nm,nm
2019-07-14T23:50:48.590Z,36.0696667,-117.8368333,2.6,2.12,ml,22,62,0.04999,0.15,ci,ci38569359,2019-07-15T00:01:43.960Z,"10km ENE of Coso Junction, CA",earthquake,0.25,0.34,0.25,25,automatic,ci,ci
2019-07-14T23:47:24.460Z,36.0578346,-117.8536682,2.47,1.5,ml,18,114,0.05818,0.13,ci,ci38569351,2019-07-14T23:51:12.849Z,"9km E of Coso Junction, CA",earthquake,0.31,0.33,0.198,9,automatic,ci,ci
2019-07-14T23:44:38.240Z,35.6758333,-117.5338333,23.9,1.34,ml,8,179,0.2042,0.18,ci,ci38569327,2019-07-14T23:48:23.827Z,"14km ENE of Ridgecrest, CA",earthquake,1.85,4.96,0.324,10,automatic,ci,ci
2019-07-14T23:44:13.700Z,38.7921667,-122.7623333,3.22,0.33,md,24,77,0.02002,0.06,nc,nc73223261,2019-07-18T15:22:03.474Z,"2km NNW of The Geysers, CA",earthquake,0.31,0.61,0.024,2,reviewed,nc,nc
2019-07-14T23:38:12.134Z,62.3948,-151.1855,82.6,1.7,ml,,,,0.33,ak,ak0198yvptbr,2019-08-09T00:05:06.921Z,"56km W of Talkeetna, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-07-14T23:36:46.190Z,35.612,-117.4501667,9.8,1.35,ml,11,145,0.02727,0.18,ci,ci38569295,2019-07-14T23:40:15.777Z,"18km SSW of Searles Valley, CA",earthquake,0.58,0.82,0.111,6,automatic,ci,ci
2019-07-14T23:36:18.380Z,35.6588333,-117.4741667,2.21,1.57,ml,18,146,0.07283,0.28,ci,ci38569287,2019-07-14T23:40:18.778Z,"14km SSW of Searles Valley, CA",earthquake,0.63,0.95,0.142,25,automatic,ci,ci
2019-07-14T23:34:03.974Z,51.4044,178.355,38.6,1.1,ml,,,,0.21,ak,ak0198yvoxya,2019-08-09T00:05:06.312Z,"61km S of Little Sitkin Island, Alaska",earthquake,,1.4,,,reviewed,ak,ak
